"subset","method","n_total","n_success","n_ci","bias","rmse","emp_sd","mean_se","coverage","mcse_coverage"
"overlap_bad","Crude",40,40,40,0.170295,0.181069,0.062312,0.062606,0.2,0.0632
"overlap_bad","Adj. Regression",40,40,40,0.001082,0.080857,0.081879,0.002033,0.025,0.0247
"overlap_bad","IPTW",40,40,40,0.020872,0.190097,0.191355,0.129191,0.775,0.066
"overlap_bad","PS-Matched",40,40,40,-0.019296,0.109078,0.108726,0.123777,0.975,0.0247
"overlap_bad","TMLE-GLM (IC)",40,40,40,-0.027409,0.194829,0.195348,0.11055,0.7,0.0725
"overlap_bad","TMLE-GLM (mult.boot)",40,40,40,-0.027409,0.194829,0.195348,0.109753,0.725,0.0706
"overlap_bad","TMLE-ML (IC)",40,40,40,-0.008756,0.15745,0.159209,0.087769,0.775,0.066
"overlap_bad","TMLE-ML (mult.boot)",40,40,40,-0.008756,0.15745,0.159209,0.08712,0.675,0.0741
"overlap_bad","CV-TMLE-ML (IC)",40,40,40,0.037958,0.147869,0.144735,0.077087,0.65,0.0754
"overlap_bad","CV-TMLE-ML (mult.boot)",40,40,40,0.037958,0.147869,0.144735,0.077144,0.625,0.0765
