"scenario","replicate","ps_converged","ps_runtime","ess_treated","ess_control","max_smd_weighted","n_trunc_lower","n_trunc_upper","ps_min","ps_max"
"simple",1,TRUE,0.0100000000020373,146.7,243.5,0.0315,0,0,0.1146,0.8042
"simple",2,TRUE,0.00999999999839929,137.1,244.9,0.0458,0,0,0.1068,0.9796
"simple",3,TRUE,0.0200000000004366,129.5,262.5,0.078,0,1,0.0363,0.99
"simple",4,TRUE,0,160.4,226.6,0.0424,0,0,0.12,0.8674
"simple",5,TRUE,0,96.2,270.6,0.0869,0,0,0.0623,0.9276
"nonlinear",1,TRUE,0.0200000000004366,116.2,254.8,0.2197,3,10,0.01,0.99
"nonlinear",2,TRUE,0.0200000000004366,121.3,238.2,0.0972,2,0,0.01,0.9576
"nonlinear",3,TRUE,0.0100000000020373,95.8,247.5,0.2421,0,12,0.0228,0.99
"nonlinear",4,TRUE,0.00999999999839929,85.1,241,0.1288,2,1,0.01,0.99
"nonlinear",5,TRUE,0.0200000000004366,90.4,174.4,0.1569,0,1,0.0145,0.99
"dep_censor",1,TRUE,0.0200000000004366,105.6,261.5,0.0907,0,0,0.0421,0.9027
"dep_censor",2,TRUE,0,110.9,207.3,0.1316,0,0,0.0275,0.968
"dep_censor",3,TRUE,0.0199999999967986,106.9,251.4,0.2919,0,17,0.0231,0.99
"dep_censor",4,TRUE,0.0100000000020373,106.7,236.4,0.1336,0,0,0.0105,0.9817
"dep_censor",5,TRUE,0.0299999999988358,125.4,241.7,0.2779,0,16,0.0602,0.99
"switching",1,TRUE,0,121,199.2,0.09,0,0,0.0377,0.983
"switching",2,TRUE,0.0200000000004366,106,233.7,0.2673,0,3,0.0185,0.99
"switching",3,TRUE,0.0100000000020373,101.2,269.4,0.1763,0,0,0.0218,0.9888
"switching",4,TRUE,0.0200000000004366,105.8,203.2,0.1714,7,2,0.01,0.99
"switching",5,TRUE,0.0100000000020373,137.6,239.9,0.1393,4,0,0.01,0.8892
"np_hazard",1,TRUE,0.0199999999967986,116.5,253.9,0.2777,0,16,0.033,0.99
"np_hazard",2,TRUE,0.0199999999967986,107.1,90.5,0.1566,1,1,0.01,0.99
"np_hazard",3,TRUE,0,139.7,194.3,0.084,0,0,0.0583,0.9885
"np_hazard",4,TRUE,0,81.5,236.3,0.2027,0,0,0.0341,0.972
"np_hazard",5,TRUE,0.0200000000004366,95,161.8,0.161,0,0,0.0438,0.9842
