"subset","method","n_total","n_success","n_ci","bias","rmse","emp_sd","mean_se","coverage","mcse_coverage"
"all","Crude",120,120,120,0.175522,0.183488,0.053701,0.045345,0.0417,0.0182
"all","Adj. Regression (analytic)",120,120,120,0.021113,0.076754,0.074102,0.06308,0.8667,0.031
"all","IPTW (analytic)",120,120,120,0.051753,0.113526,0.101467,0.083267,0.85,0.0326
"all","PS-Matched (pairs boot)",120,120,120,0.015809,0.095009,0.094077,0.077466,0.9167,0.0252
"all","TMLE-GLM (IC)",120,120,120,0.009322,0.098824,0.098796,0.068156,0.8,0.0365
"all","TMLE-ML (IC)",120,120,120,0.018114,0.097333,0.096034,0.059285,0.7333,0.0404
"all","TMLE-ML (NP boot pctl)",120,120,0,0.018114,0.097333,0.096034,NA,NA,NA
"all","TMLE-ML (NP boot norm)",120,120,0,0.018114,0.097333,0.096034,NA,NA,NA
"all","TMLE-ML (mult.boot)",120,120,120,0.018114,0.097333,0.096034,0.05884,0.7333,0.0404
"all","CV-TMLE-ML (IC)",120,120,120,0.030301,0.121618,0.118276,0.070368,0.7167,0.0411
"all","CV-TMLE-ML (mult.boot)",120,120,120,0.030301,0.121618,0.118276,0.070127,0.7083,0.0415
"overlap_ok","Crude",63,63,63,0.156273,0.163256,0.047616,0.04587,0.0794,0.0341
"overlap_ok","Adj. Regression (analytic)",63,63,63,0.01795,0.061594,0.059394,0.055772,0.8889,0.0396
"overlap_ok","IPTW (analytic)",63,63,63,0.005765,0.065663,0.065935,0.074678,0.9524,0.0268
"overlap_ok","PS-Matched (pairs boot)",63,63,63,0.015127,0.066714,0.065498,0.061666,0.9206,0.0341
"overlap_ok","TMLE-GLM (IC)",63,63,63,-9.9e-05,0.068265,0.068813,0.068695,0.9365,0.0307
"overlap_ok","TMLE-ML (IC)",63,63,63,0.006077,0.068118,0.068392,0.05949,0.8571,0.0441
"overlap_ok","TMLE-ML (NP boot pctl)",63,63,0,0.006077,0.068118,0.068392,NA,NA,NA
"overlap_ok","TMLE-ML (NP boot norm)",63,63,0,0.006077,0.068118,0.068392,NA,NA,NA
"overlap_ok","TMLE-ML (mult.boot)",63,63,63,0.006077,0.068118,0.068392,0.059138,0.8571,0.0441
"overlap_ok","CV-TMLE-ML (IC)",63,63,63,0.009982,0.071214,0.071077,0.082924,0.9365,0.0307
"overlap_ok","CV-TMLE-ML (mult.boot)",63,63,63,0.009982,0.071214,0.071077,0.082469,0.9206,0.0341
"overlap_bad","Crude",57,57,57,0.196798,0.203523,0.052347,0.044765,0,0
"overlap_bad","Adj. Regression (analytic)",57,57,57,0.02461,0.090605,0.087974,0.071158,0.8421,0.0483
"overlap_bad","IPTW (analytic)",57,57,57,0.102581,0.149558,0.109801,0.092759,0.7368,0.0583
"overlap_bad","PS-Matched (pairs boot)",57,57,57,0.016562,0.118677,0.11856,0.09493,0.9123,0.0375
"overlap_bad","TMLE-GLM (IC)",57,57,57,0.019735,0.124136,0.123647,0.06756,0.6491,0.0632
"overlap_bad","TMLE-ML (IC)",57,57,57,0.031417,0.121722,0.118643,0.059059,0.5965,0.065
"overlap_bad","TMLE-ML (NP boot pctl)",57,57,0,0.031417,0.121722,0.118643,NA,NA,NA
"overlap_bad","TMLE-ML (NP boot norm)",57,57,0,0.031417,0.121722,0.118643,NA,NA,NA
"overlap_bad","TMLE-ML (mult.boot)",57,57,57,0.031417,0.121722,0.118643,0.058512,0.5965,0.065
"overlap_bad","CV-TMLE-ML (IC)",57,57,57,0.052759,0.159792,0.152171,0.05649,0.4737,0.0661
"overlap_bad","CV-TMLE-ML (mult.boot)",57,57,57,0.052759,0.159792,0.152171,0.056486,0.4737,0.0661
