"subset","method","n_total","n_success","n_ci","bias","rmse","emp_sd","mean_se","coverage","mcse_coverage"
"overlap_ok","Crude",64,64,64,0.07417,0.089598,0.050662,0.047646,0.6562,0.0594
"overlap_ok","Adj. Regression (analytic)",64,64,64,0.014789,0.064631,0.063414,0.056849,0.8594,0.0435
"overlap_ok","IPTW (analytic)",64,64,64,0.020258,0.065717,0.063011,0.070612,0.9531,0.0264
"overlap_ok","PS-Matched (pairs boot)",64,64,64,0.010666,0.071586,0.071347,0.062959,0.9062,0.0364
"overlap_ok","TMLE-GLM (IC)",64,64,64,0.017716,0.066868,0.064989,0.069897,0.9375,0.0303
"overlap_ok","TMLE-ML (IC)",64,64,64,0.020007,0.063034,0.060248,0.059075,0.9219,0.0335
"overlap_ok","TMLE-ML (NP boot pctl)",64,64,0,0.020007,0.063034,0.060248,NA,NA,NA
"overlap_ok","TMLE-ML (NP boot norm)",64,64,0,0.020007,0.063034,0.060248,NA,NA,NA
"overlap_ok","TMLE-ML (mult.boot)",64,64,64,0.020007,0.063034,0.060248,0.058737,0.8906,0.039
"overlap_ok","CV-TMLE-ML (IC)",64,64,64,0.008798,0.064432,0.064333,0.08478,0.9844,0.0155
"overlap_ok","CV-TMLE-ML (mult.boot)",64,64,64,0.008798,0.064432,0.064333,0.084816,0.9844,0.0155
